Date,Close,High,Low,Open,Volume,Dividends,Stock Splits,Symbol
2025-04-28,7.58,7.65,7.44,7.45,211500,0.0,0.0,DOMO
2025-04-25,7.5,7.53,7.1,7.23,220600,0.0,0.0,DOMO
2025-04-24,7.32,7.34,6.85,6.88,329600,0.0,0.0,DOMO
2025-04-23,6.83,7.4,6.83,6.9,416600,0.0,0.0,DOMO
2025-04-22,6.74,7.07,6.62,6.9,503500,0.0,0.0,DOMO
2025-04-21,6.82,6.9,6.68,6.83,454000,0.0,0.0,DOMO
2025-04-17,6.93,7.22,6.74,7.22,466200,0.0,0.0,DOMO
2025-04-16,7.13,8.04,7.03,8.04,307400,0.0,0.0,DOMO
2025-04-15,8.23,8.36,8.02,8.11,353900,0.0,0.0,DOMO
2025-04-14,8.06,8.5,7.96,8.19,334200,0.0,0.0,DOMO
2025-04-11,8.22,8.46,7.76,8.22,360800,0.0,0.0,DOMO
2025-04-10,8.26,8.3,7.86,7.95,378600,0.0,0.0,DOMO
2025-04-09,8.16,8.28,7.26,7.5,461600,0.0,0.0,DOMO
2025-04-08,7.51,8.16,7.39,7.55,824700,0.0,0.0,DOMO
2025-04-07,7.18,7.49,6.71,6.85,704700,0.0,0.0,DOMO
2025-04-04,6.64,7.0,6.01,6.9,909100,0.0,0.0,DOMO
2025-04-03,7.16,7.79,7.09,7.79,435200,0.0,0.0,DOMO
2025-04-02,8.09,8.09,7.74,7.77,361600,0.0,0.0,DOMO
2025-04-01,7.9,7.98,7.73,7.75,307100,0.0,0.0,DOMO
2025-03-31,7.76,7.84,7.58,7.76,379700,0.0,0.0,DOMO
2025-03-28,7.96,8.22,7.82,8.21,378500,0.0,0.0,DOMO
2025-03-27,8.26,8.59,8.24,8.59,204200,0.0,0.0,DOMO
2025-03-26,8.68,8.88,8.36,8.82,377400,0.0,0.0,DOMO
2025-03-25,8.81,9.01,8.76,8.95,344100,0.0,0.0,DOMO
2025-03-24,8.97,9.02,8.43,8.43,489200,0.0,0.0,DOMO
2025-03-21,8.29,8.39,8.09,8.28,465800,0.0,0.0,DOMO
2025-03-20,8.29,8.38,8.05,8.15,391700,0.0,0.0,DOMO
2025-03-19,8.27,8.72,8.24,8.72,197500,0.0,0.0,DOMO
2025-03-18,8.66,8.76,8.39,8.46,343400,0.0,0.0,DOMO
2025-03-17,8.53,8.56,8.12,8.38,323700,0.0,0.0,DOMO
2025-03-14,8.49,8.56,8.34,8.39,359500,0.0,0.0,DOMO
2025-03-13,8.21,8.56,8.07,8.52,506700,0.0,0.0,DOMO
2025-03-12,8.57,8.65,8.07,8.12,437400,0.0,0.0,DOMO
2025-03-11,8.05,8.32,7.83,8.0,443900,0.0,0.0,DOMO
2025-03-10,8.01,8.12,7.83,8.09,506400,0.0,0.0,DOMO
2025-03-07,8.18,8.28,7.11,7.6,944100,0.0,0.0,DOMO
2025-03-06,7.05,7.7,7.0,7.57,551900,0.0,0.0,DOMO
2025-03-05,7.73,7.86,7.57,7.74,220900,0.0,0.0,DOMO
2025-03-04,7.72,7.73,7.22,7.4,240900,0.0,0.0,DOMO
2025-03-03,7.51,7.73,7.49,7.64,217400,0.0,0.0,DOMO
2025-02-28,7.6,7.71,7.42,7.68,231500,0.0,0.0,DOMO
2025-02-27,7.72,7.97,7.68,7.86,216700,0.0,0.0,DOMO
2025-02-26,7.83,7.86,7.6,7.64,197500,0.0,0.0,DOMO
2025-02-25,7.62,7.91,7.61,7.88,269700,0.0,0.0,DOMO
2025-02-24,7.9,8.2,7.82,8.2,246400,0.0,0.0,DOMO
2025-02-21,8.16,8.59,8.11,8.51,260200,0.0,0.0,DOMO
2025-02-20,8.45,8.72,8.38,8.72,171800,0.0,0.0,DOMO
2025-02-19,8.61,8.79,8.55,8.79,315700,0.0,0.0,DOMO
2025-02-18,8.87,9.1,8.61,9.06,309900,0.0,0.0,DOMO
2025-02-14,9.05,9.25,8.92,9.19,306600,0.0,0.0,DOMO
2025-02-13,9.15,9.18,8.84,8.98,279700,0.0,0.0,DOMO
2025-02-12,8.97,9.13,8.48,8.65,378100,0.0,0.0,DOMO
2025-02-11,8.8,9.25,8.46,8.76,502800,0.0,0.0,DOMO
