Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-08-01,6.09,6.54,6.07,6.54,9717400,0.0,0.0,0.0
2025-07-31,5.6,5.82,5.55,5.81,5753400,0.0,0.0,0.0
2025-07-30,5.74,5.99,5.52,5.72,6537800,0.0,0.0,0.0
2025-07-29,5.41,5.86,5.4,5.7,7884100,0.0,0.0,0.0
2025-07-28,5.46,5.76,5.37,5.64,5723100,0.0,0.0,0.0
2025-07-25,5.89,6.22,5.86,6.09,4123000,0.0,0.0,0.0
2025-07-24,6.14,6.22,5.67,5.81,5028300,0.0,0.0,0.0
2025-07-23,6.08,6.42,6.07,6.29,5250000,0.0,0.0,0.0
2025-07-22,5.95,6.18,5.78,6.03,7161700,0.0,0.0,0.0
2025-07-21,5.71,5.89,5.4,5.84,10264100,0.0,0.0,0.0
2025-07-18,6.2,6.58,6.01,6.49,6952100,0.0,0.0,0.0
2025-07-17,7.07,7.27,6.89,7.08,4992000,0.0,0.0,0.0
2025-07-16,8.44,8.51,7.2,7.2,5054300,0.0,0.0,0.0
2025-07-15,9.32,9.73,8.9,9.27,2543500,0.0,0.0,0.0
2025-07-14,9.21,9.61,9.09,9.52,1743900,0.0,0.0,0.0
2025-07-11,9.53,9.99,9.44,9.5,2348100,0.0,0.0,0.0
2025-07-10,11.17,11.42,10.74,10.94,1665800,0.0,0.0,0.0
2025-07-09,12.41,12.71,11.09,11.38,1782500,0.0,0.0,0.0
2025-07-08,13.21,13.47,12.72,12.92,921300,0.0,0.0,0.0
2025-07-07,13.46,13.9,13.34,13.61,761900,0.0,0.0,0.0
2025-07-03,13.08,13.34,12.66,13.27,636900,0.0,0.0,0.0
2025-07-02,15.0,15.09,12.94,13.01,1798700,0.0,0.0,0.0
2025-07-01,15.14,15.59,15.01,15.57,1107300,0.665,0.0,0.0
2025-06-30,14.85,15.33,14.22,14.27,781400,0.0,0.0,0.0
2025-06-27,15.44,15.92,15.14,15.56,537300,0.0,0.0,0.0
2025-06-26,15.26,15.62,15.03,15.3,658600,0.0,0.0,0.0
2025-06-25,15.24,15.87,15.18,15.37,724600,0.0,0.0,0.0
2025-06-24,15.54,15.74,14.64,15.29,1967400,0.0,0.0,0.0
2025-06-23,17.88,18.71,16.96,17.11,1792000,0.0,0.0,0.0
2025-06-20,14.07,16.32,14.04,15.79,1478000,0.0,0.0,0.0
2025-06-18,15.1,15.12,14.3,14.85,952700,0.0,0.0,0.0
2025-06-17,14.08,15.12,14.0,14.4,1466500,0.0,0.0,0.0
2025-06-16,13.64,13.66,12.95,13.04,838300,0.0,0.0,0.0
2025-06-13,14.4,14.79,14.03,14.6,1229200,0.0,0.0,0.0
2025-06-12,12.58,13.01,12.3,12.99,990200,0.0,0.0,0.0
2025-06-11,11.96,12.19,11.37,11.97,1275400,0.0,0.0,0.0
2025-06-10,12.51,13.23,11.94,12.27,2037500,0.0,0.0,0.0
2025-06-09,15.0,15.32,14.28,14.47,561500,0.0,0.0,0.0
2025-06-06,15.65,15.66,15.08,15.66,870300,0.0,0.0,0.0
2025-06-05,13.99,15.31,13.99,15.12,1012200,0.0,0.0,0.0
2025-06-04,14.18,14.42,13.48,14.07,819500,0.0,0.0,0.0
2025-06-03,14.14,14.31,13.73,14.05,1306100,0.0,0.0,0.0
2025-06-02,15.53,15.59,14.79,15.18,974600,0.288,0.0,0.0
2025-05-30,14.34,15.04,14.19,14.66,1118200,0.0,0.0,0.0
2025-05-29,13.48,14.13,13.45,13.84,659900,0.0,0.0,0.0
2025-05-28,13.63,14.24,13.45,14.17,897700,0.0,0.0,0.0
2025-05-27,13.73,14.1,13.2,13.5,1402900,0.0,0.0,0.0
2025-05-23,14.93,15.07,14.57,14.92,993700,0.0,0.0,0.0
2025-05-22,13.94,14.24,13.58,14.12,1050900,0.0,0.0,0.0
2025-05-21,15.4,16.39,14.35,15.6,1264800,0.0,0.0,0.0
2025-05-20,15.98,16.45,15.67,15.74,704800,0.0,0.0,0.0
2025-05-19,16.82,16.93,15.22,15.57,1058900,0.0,0.0,0.0
2025-05-16,14.59,14.96,14.39,14.68,659400,0.0,0.0,0.0
2025-05-15,15.1,16.04,14.64,15.45,1150500,0.0,0.0,0.0
2025-05-14,14.52,15.17,14.39,14.61,786900,0.0,0.0,0.0
2025-05-13,15.81,16.0,13.12,13.78,1209900,0.0,0.0,0.0
2025-05-12,15.33,17.75,15.11,16.94,2068500,0.0,0.0,0.0
